2025-09-12 08:19: Experiment log path in: /root/tecGPT/model/SAVE/METR_LA
2025-09-12 08:19: Train Epoch 1: 0/2996 Loss: 7.218693
2025-09-12 08:19: Train Epoch 1: 20/2996 Loss: 7.595712
2025-09-12 08:19: Train Epoch 1: 40/2996 Loss: 3.301704
2025-09-12 08:19: Train Epoch 1: 60/2996 Loss: 4.454632
2025-09-12 08:19: Train Epoch 1: 80/2996 Loss: 4.353228
2025-09-12 08:19: Train Epoch 1: 100/2996 Loss: 5.377532
2025-09-12 08:19: Train Epoch 1: 120/2996 Loss: 4.717103
2025-09-12 08:19: Train Epoch 1: 140/2996 Loss: 4.057591
2025-09-12 08:19: Train Epoch 1: 160/2996 Loss: 4.512735
2025-09-12 08:19: Train Epoch 1: 180/2996 Loss: 5.484545
2025-09-12 08:19: Train Epoch 1: 200/2996 Loss: 4.365150
2025-09-12 08:19: Train Epoch 1: 220/2996 Loss: 3.744352
2025-09-12 08:19: Train Epoch 1: 240/2996 Loss: 5.160755
2025-09-12 08:19: Train Epoch 1: 260/2996 Loss: 3.595228
2025-09-12 08:19: Train Epoch 1: 280/2996 Loss: 4.306128
2025-09-12 08:19: Train Epoch 1: 300/2996 Loss: 5.125531
2025-09-12 08:19: Train Epoch 1: 320/2996 Loss: 4.289843
2025-09-12 08:19: Train Epoch 1: 340/2996 Loss: 5.560144
2025-09-12 08:19: Train Epoch 1: 360/2996 Loss: 3.639620
2025-09-12 08:19: Train Epoch 1: 380/2996 Loss: 5.511435
2025-09-12 08:19: Train Epoch 1: 400/2996 Loss: 4.066122
2025-09-12 08:19: Train Epoch 1: 420/2996 Loss: 4.271968
2025-09-12 08:19: Train Epoch 1: 440/2996 Loss: 4.236878
2025-09-12 08:19: Train Epoch 1: 460/2996 Loss: 3.269922
2025-09-12 08:19: Train Epoch 1: 480/2996 Loss: 3.722448
2025-09-12 08:19: Train Epoch 1: 500/2996 Loss: 3.758661
2025-09-12 08:19: Train Epoch 1: 520/2996 Loss: 2.910966
2025-09-12 08:19: Train Epoch 1: 540/2996 Loss: 3.781012
2025-09-12 08:19: Train Epoch 1: 560/2996 Loss: 4.707901
2025-09-12 08:19: Train Epoch 1: 580/2996 Loss: 4.154131
2025-09-12 08:19: Train Epoch 1: 600/2996 Loss: 3.717293
2025-09-12 08:19: Train Epoch 1: 620/2996 Loss: 2.596875
2025-09-12 08:19: Train Epoch 1: 640/2996 Loss: 3.837712
2025-09-12 08:19: Train Epoch 1: 660/2996 Loss: 3.759015
2025-09-12 08:19: Train Epoch 1: 680/2996 Loss: 3.300015
2025-09-12 08:19: Train Epoch 1: 700/2996 Loss: 3.925519
2025-09-12 08:19: Train Epoch 1: 720/2996 Loss: 3.925218
2025-09-12 08:19: Train Epoch 1: 740/2996 Loss: 4.864515
2025-09-12 08:19: Train Epoch 1: 760/2996 Loss: 4.955701
2025-09-12 08:19: Train Epoch 1: 780/2996 Loss: 4.893881
2025-09-12 08:19: Train Epoch 1: 800/2996 Loss: 4.011131
2025-09-12 08:19: Train Epoch 1: 820/2996 Loss: 3.679148
2025-09-12 08:19: Train Epoch 1: 840/2996 Loss: 3.330059
2025-09-12 08:19: Train Epoch 1: 860/2996 Loss: 5.284482
2025-09-12 08:19: Train Epoch 1: 880/2996 Loss: 4.366765
2025-09-12 08:19: Train Epoch 1: 900/2996 Loss: 3.642273
2025-09-12 08:19: Train Epoch 1: 920/2996 Loss: 4.316296
2025-09-12 08:19: Train Epoch 1: 940/2996 Loss: 3.367670
2025-09-12 08:19: Train Epoch 1: 960/2996 Loss: 3.352931
2025-09-12 08:19: Train Epoch 1: 980/2996 Loss: 3.093238
2025-09-12 08:19: Train Epoch 1: 1000/2996 Loss: 3.578844
2025-09-12 08:19: Train Epoch 1: 1020/2996 Loss: 4.150072
2025-09-12 08:19: Train Epoch 1: 1040/2996 Loss: 2.764737
2025-09-12 08:19: Train Epoch 1: 1060/2996 Loss: 3.430723
2025-09-12 08:19: Train Epoch 1: 1080/2996 Loss: 4.160063
2025-09-12 08:19: Train Epoch 1: 1100/2996 Loss: 4.390062
2025-09-12 08:19: Train Epoch 1: 1120/2996 Loss: 3.489526
2025-09-12 08:19: Train Epoch 1: 1140/2996 Loss: 3.534590
2025-09-12 08:19: Train Epoch 1: 1160/2996 Loss: 4.294518
2025-09-12 08:19: Train Epoch 1: 1180/2996 Loss: 4.015103
2025-09-12 08:19: Train Epoch 1: 1200/2996 Loss: 3.441851
2025-09-12 08:19: Train Epoch 1: 1220/2996 Loss: 3.963431
2025-09-12 08:19: Train Epoch 1: 1240/2996 Loss: 3.907870
2025-09-12 08:19: Train Epoch 1: 1260/2996 Loss: 3.305434
2025-09-12 08:19: Train Epoch 1: 1280/2996 Loss: 4.829107
2025-09-12 08:19: Train Epoch 1: 1300/2996 Loss: 3.985117
2025-09-12 08:19: Train Epoch 1: 1320/2996 Loss: 4.130367
2025-09-12 08:19: Train Epoch 1: 1340/2996 Loss: 4.780074
2025-09-12 08:19: Train Epoch 1: 1360/2996 Loss: 3.106402
2025-09-12 08:19: Train Epoch 1: 1380/2996 Loss: 2.703779
2025-09-12 08:19: Train Epoch 1: 1400/2996 Loss: 4.926586
2025-09-12 08:19: Train Epoch 1: 1420/2996 Loss: 4.414089
2025-09-12 08:19: Train Epoch 1: 1440/2996 Loss: 4.968637
2025-09-12 08:19: Train Epoch 1: 1460/2996 Loss: 3.884577
2025-09-12 08:19: Train Epoch 1: 1480/2996 Loss: 3.574263
2025-09-12 08:19: Train Epoch 1: 1500/2996 Loss: 3.705087
2025-09-12 08:19: Train Epoch 1: 1520/2996 Loss: 4.112111
2025-09-12 08:19: Train Epoch 1: 1540/2996 Loss: 4.076772
2025-09-12 08:19: Train Epoch 1: 1560/2996 Loss: 3.734994
2025-09-12 08:19: Train Epoch 1: 1580/2996 Loss: 3.877506
2025-09-12 08:19: Train Epoch 1: 1600/2996 Loss: 3.408540
2025-09-12 08:19: Train Epoch 1: 1620/2996 Loss: 3.402896
2025-09-12 08:19: Train Epoch 1: 1640/2996 Loss: 3.835552
2025-09-12 08:19: Train Epoch 1: 1660/2996 Loss: 4.615157
2025-09-12 08:19: Train Epoch 1: 1680/2996 Loss: 3.850443
2025-09-12 08:19: Train Epoch 1: 1700/2996 Loss: 3.825449
2025-09-12 08:19: Train Epoch 1: 1720/2996 Loss: 5.248009
2025-09-12 08:19: Train Epoch 1: 1740/2996 Loss: 4.672002
2025-09-12 08:19: Train Epoch 1: 1760/2996 Loss: 4.152712
2025-09-12 08:19: Train Epoch 1: 1780/2996 Loss: 5.022321
2025-09-12 08:19: Train Epoch 1: 1800/2996 Loss: 4.821943
2025-09-12 08:19: Train Epoch 1: 1820/2996 Loss: 4.690728
2025-09-12 08:19: Train Epoch 1: 1840/2996 Loss: 3.130390
2025-09-12 08:19: Train Epoch 1: 1860/2996 Loss: 3.581159
2025-09-12 08:19: Train Epoch 1: 1880/2996 Loss: 4.179874
2025-09-12 08:19: Train Epoch 1: 1900/2996 Loss: 4.044491
2025-09-12 08:19: Train Epoch 1: 1920/2996 Loss: 3.133046
2025-09-12 08:19: Train Epoch 1: 1940/2996 Loss: 3.670031
2025-09-12 08:19: Train Epoch 1: 1960/2996 Loss: 3.521532
2025-09-12 08:19: Train Epoch 1: 1980/2996 Loss: 3.029648
2025-09-12 08:19: Train Epoch 1: 2000/2996 Loss: 4.794122
2025-09-12 08:19: Train Epoch 1: 2020/2996 Loss: 4.166664
2025-09-12 08:19: Train Epoch 1: 2040/2996 Loss: 3.238643
2025-09-12 08:19: Train Epoch 1: 2060/2996 Loss: 4.104544
2025-09-12 08:19: Train Epoch 1: 2080/2996 Loss: 4.782525
2025-09-12 08:19: Train Epoch 1: 2100/2996 Loss: 3.748620
2025-09-12 08:19: Train Epoch 1: 2120/2996 Loss: 3.306034
2025-09-12 08:19: Train Epoch 1: 2140/2996 Loss: 4.097588
2025-09-12 08:19: Train Epoch 1: 2160/2996 Loss: 4.640059
2025-09-12 08:19: Train Epoch 1: 2180/2996 Loss: 3.670504
2025-09-12 08:19: Train Epoch 1: 2200/2996 Loss: 3.410190
2025-09-12 08:19: Train Epoch 1: 2220/2996 Loss: 3.388198
2025-09-12 08:19: Train Epoch 1: 2240/2996 Loss: 3.699040
2025-09-12 08:19: Train Epoch 1: 2260/2996 Loss: 3.614360
2025-09-12 08:19: Train Epoch 1: 2280/2996 Loss: 3.135833
2025-09-12 08:19: Train Epoch 1: 2300/2996 Loss: 4.749997
2025-09-12 08:19: Train Epoch 1: 2320/2996 Loss: 4.072095
2025-09-12 08:19: Train Epoch 1: 2340/2996 Loss: 4.485119
2025-09-12 08:19: Train Epoch 1: 2360/2996 Loss: 3.490770
2025-09-12 08:19: Train Epoch 1: 2380/2996 Loss: 4.124749
2025-09-12 08:19: Train Epoch 1: 2400/2996 Loss: 3.501942
2025-09-12 08:19: Train Epoch 1: 2420/2996 Loss: 3.591918
2025-09-12 08:19: Train Epoch 1: 2440/2996 Loss: 2.869652
2025-09-12 08:19: Train Epoch 1: 2460/2996 Loss: 4.079950
2025-09-12 08:19: Train Epoch 1: 2480/2996 Loss: 4.198761
2025-09-12 08:19: Train Epoch 1: 2500/2996 Loss: 3.080221
2025-09-12 08:19: Train Epoch 1: 2520/2996 Loss: 3.195442
2025-09-12 08:19: Train Epoch 1: 2540/2996 Loss: 3.095454
2025-09-12 08:19: Train Epoch 1: 2560/2996 Loss: 3.631398
2025-09-12 08:19: Train Epoch 1: 2580/2996 Loss: 4.161500
2025-09-12 08:19: Train Epoch 1: 2600/2996 Loss: 4.327753
2025-09-12 08:19: Train Epoch 1: 2620/2996 Loss: 3.756397
2025-09-12 08:19: Train Epoch 1: 2640/2996 Loss: 3.498048
2025-09-12 08:19: Train Epoch 1: 2660/2996 Loss: 2.759127
2025-09-12 08:19: Train Epoch 1: 2680/2996 Loss: 3.534502
2025-09-12 08:19: Train Epoch 1: 2700/2996 Loss: 3.314469
2025-09-12 08:19: Train Epoch 1: 2720/2996 Loss: 3.294598
2025-09-12 08:19: Train Epoch 1: 2740/2996 Loss: 4.206220
2025-09-12 08:19: Train Epoch 1: 2760/2996 Loss: 4.351444
2025-09-12 08:19: Train Epoch 1: 2780/2996 Loss: 3.120035
2025-09-12 08:19: Train Epoch 1: 2800/2996 Loss: 4.043074
2025-09-12 08:19: Train Epoch 1: 2820/2996 Loss: 4.035908
2025-09-12 08:19: Train Epoch 1: 2840/2996 Loss: 2.414806
2025-09-12 08:19: Train Epoch 1: 2860/2996 Loss: 3.524612
